model,seed,scenic_side,phase,familiarize_side,morning_idx,valid,decided,choice_entry,choice_commit,decided_commit,scenic_choice,scenic_time,dull_time,scenic_time_share,scenic_time_barrier,dull_time_barrier,scenic_time_share_barrier,split_delta_novelty,split_scenic_novelty,split_dull_novelty,split_pred_I_scenic,split_pred_I_dull,split_pred_valence_scenic,split_pred_valence_dull,split_pred_arousal_scenic,split_pred_arousal_dull,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull
Ipsundrum+affect,0,left,baseline,both,0,True,False,,none,False,False,0,0,0.0,0,0,0.0,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,,,,
Ipsundrum+affect,0,left,post,both,1,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,0.0,0.1091089451179962,0.1091089451179962,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,both,2,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.016261276029470265,0.09284766908852593,0.1091089451179962,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,both,3,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.02690945146531755,0.08219949365267865,0.1091089451179962,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,both,4,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.0345733458680032,0.07453559924999299,0.1091089451179962,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,both,5,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.04042866314365168,0.06868028197434452,0.1091089451179962,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,baseline,dull,0,True,False,,none,False,False,0,0,0.0,0,0,0.0,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,,,,
Ipsundrum+affect,0,left,post,dull,1,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,0.42191311905569695,0.5,0.07808688094430304,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,dull,2,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,0.08857978572236362,0.16666666666666666,0.07808688094430304,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,dull,3,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,0.04318093157386345,0.12126781251816648,0.07808688094430304,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,dull,4,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,0.02191311905569697,0.1,0.07808688094430304,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,dull,5,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,0.00895194703354589,0.08703882797784893,0.07808688094430304,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,baseline,none,0,True,False,,none,False,False,0,0,0.0,0,0,0.0,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,,,,
Ipsundrum+affect,0,left,post,none,1,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,none,2,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.33333333333333337,0.16666666666666666,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,none,3,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.3787321874818335,0.12126781251816648,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,none,4,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.4,0.1,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,none,5,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.4129611720221511,0.08703882797784893,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,baseline,scenic,0,True,False,,none,False,False,0,0,0.0,0,0,0.0,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,,,,
Ipsundrum+affect,0,left,post,scenic,1,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.42191311905569695,0.07808688094430304,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,scenic,2,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.4285714285714286,0.07142857142857142,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,scenic,3,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.4337733821467478,0.06622661785325219,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,scenic,4,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.4379826327053958,0.062017367294604234,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,0,left,post,scenic,5,True,True,scenic,scenic,True,True,68,0,1.0,46,0,1.0,-0.4414794264019347,0.058520573598065284,0.5,-0.23579679621048805,-0.07027504517777192,0.9377525905124893,0.8761116543019941,0.15987768588529933,0.3173465248560676,0.7927241090893679,,0.08645547790759964,
Ipsundrum+affect,1,right,baseline,both,0,True,True,scenic,scenic,True,True,14,0,1.0,11,0,1.0,0.0,0.5,0.5,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.7403501205602305,,0.11536262493913842,
Ipsundrum+affect,1,right,post,both,1,True,True,scenic,scenic,True,True,24,0,1.0,19,0,1.0,0.0,0.1091089451179962,0.1091089451179962,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.704439068220668,,0.10979118824458108,
Ipsundrum+affect,1,right,post,both,2,True,True,scenic,scenic,True,True,24,0,1.0,19,0,1.0,-0.00485173808945881,0.10425720702853739,0.1091089451179962,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.704439068220668,,0.10979118824458108,
Ipsundrum+affect,1,right,post,both,3,True,True,scenic,scenic,True,True,24,0,1.0,19,0,1.0,-0.00910894511799619,0.1,0.1091089451179962,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.704439068220668,,0.10979118824458108,
Ipsundrum+affect,1,right,post,both,4,True,True,scenic,scenic,True,True,24,0,1.0,19,0,1.0,-0.012883900253058564,0.09622504486493763,0.1091089451179962,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.704439068220668,,0.10979118824458108,
Ipsundrum+affect,1,right,post,both,5,True,True,scenic,scenic,True,True,24,0,1.0,19,0,1.0,-0.016261276029470265,0.09284766908852593,0.1091089451179962,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.704439068220668,,0.10979118824458108,
Ipsundrum+affect,1,right,baseline,dull,0,True,True,scenic,scenic,True,True,14,0,1.0,11,0,1.0,0.0,0.5,0.5,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.7403501205602305,,0.11536262493913842,
Ipsundrum+affect,1,right,post,dull,1,True,True,scenic,scenic,True,True,24,0,1.0,19,0,1.0,0.42191311905569695,0.5,0.07808688094430304,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.704439068220668,,0.10979118824458108,
Ipsundrum+affect,1,right,post,dull,2,True,True,scenic,scenic,True,True,24,0,1.0,19,0,1.0,0.21058825365050987,0.2886751345948129,0.07808688094430304,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.704439068220668,,0.10979118824458108,
Ipsundrum+affect,1,right,post,dull,3,True,True,scenic,scenic,True,True,24,0,1.0,19,0,1.0,0.14551991680567594,0.22360679774997896,0.07808688094430304,-0.1978831454723452,-0.07068168602946118,0.9233884801603303,0.8763316417862599,0.1975083294419821,0.31694603000531607,0.704439068220668,,0.10979118824458108,
